ability_id,ability_short_effect_markup,ability_short_effect_html
278,Transforms into its Hero Form when switching out.,Transforms into its Hero Form when switching out.
279,Goes inside the mouth of an ally Dondozo if one is on the field.,Goes inside the mouth of an ally Dondozo if one is on the field.
280,Doubles power of the next {ELECTRIC;TYPE;Electric}-type move,"Doubles power of the next <span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span>-type move"
281,"Raises highest stat in harsh sunlight , or if holding Booster Energy .","Raises highest stat in harsh sunlight , or if holding Booster Energy ."
282,"Raises highest stat on {Electric Terrain;MOVE;electric-terrain} , or if holding Booster Energy .","Raises highest stat on <a href=""/moves/electric-terrain"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Electric Terrain</span></a> , or if holding Booster Energy ."
283,Gives immunity to status moves.,Gives immunity to status moves.
284,Lowers {Special Attack;STAT;SPATK} of all Pokémon except itself.,"Lowers <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> of all Pokémon except itself."
285,Lowers {Defense;STAT;DEFENSE} of all Pokémon except itself.,"Lowers <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_defense.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> of all Pokémon except itself."
286,Lowers {Attack;STAT;ATTACK} of all Pokémon except itself.,"Lowers <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> of all Pokémon except itself."
287,Lowers {Special Defense;STAT;SPDEF} of all Pokémon except itself.,"Lowers <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spdef.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> of all Pokémon except itself."
288,"Turns the {sunlight harsh;WEATHER;HARSHSUNLIGHT} when entering battle, and boosts {Attack;STAT;ATTACK} while active.","Turns the <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">sunlight harsh</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_harshsunlight_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when entering battle, and boosts <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> while active."
289,"Creates an {Electric Terrain;MOVE;electric-terrain} when entering battle, and boosts {Special Attack;STAT;SPATK} while active.","Creates an <a href=""/moves/electric-terrain"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Electric Terrain</span></a> when entering battle, and boosts <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> while active."
290,Copies {stat;STAT;STATS} boosts by the opponent.,"Copies <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> boosts by the opponent."
291,Can eat the same Berry twice.,Can eat the same Berry twice.
292,Powers up slicing moves.,Powers up slicing moves.
293,{Attack;STAT;ATTACK} and {Special Attack;STAT;SPATK} are boosted for each party Pokémon that has been defeated.,"<span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> and <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> are boosted for each party Pokémon that has been defeated."
294,Copies ally's {stat;STAT;STATS} changes on entering battle.,"Copies ally's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> changes on entering battle."
295,Scatters {Toxic Spikes;MOVE;toxic-spikes} at the feet of the opposing team when the Pokémon takes damage from {Physical;CATEGORY;physical} moves.,"Scatters <a href=""/moves/toxic-spikes"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Toxic Spikes</span></a> at the feet of the opposing team when the Pokémon takes damage from <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Physical</span><img src=""https://cdn.pokedb.org/6264ae32cd976482cfe876746a108d177a7fa2c677b5dbbf2c2465327ed78bbf"" width=""24"" height=""24"" alt=""Damage Category Icon for Physical"" style=""width: 24px; height: 24px""></span> moves."
296,Prevents opponent using priority moves.,Prevents opponent using priority moves.
297,Restores {HP;STAT;HP} when hit by a {GROUND;TYPE;Ground}-type move,"Restores <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when hit by a <span style=""background-color: #89532A; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Ground"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/482346bac5a73b0b3bbcb12b277cc9f16954df1127911bbe69ca10f9825f8096"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Ground""><span style=""color: rgb(255, 255, 255);"">Ground</span></a></span>-type move"
298,"Status moves go last, but are not affected by the opponent's ability.","Status moves go last, but are not affected by the opponent's ability."
299,"Ignores opponent's {evasion;STAT;EVASION}, and allows {NORMAL;TYPE;Normal} type moves, and {Fighting;TYPE;Fighting} type moves to hit {GHOST;TYPE;Ghost}.","Ignores opponent's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">evasion</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_evasion_up.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, and allows <span style=""background-color: #A1A1A1; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Normal"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/df931b761961d037e369dc6433fe3a5d8cc076837922094892e602ae4a764e96"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Normal""><span style=""color: rgb(255, 255, 255);"">Normal</span></a></span> type moves, and <span style=""background-color: #F08832; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fighting"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/a6267911df02f96fe84cab10a2af507d0cb3d21186227f0ab2cd8fa2dac066d4"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fighting""><span style=""color: rgb(255, 255, 255);"">Fighting</span></a></span> type moves to hit <span style=""background-color: #6C436E; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Ghost"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9466a004c5a0de9f165a87f3d6c7b6137ec1e333d6189b75a629da994fdfcecc"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Ghost""><span style=""color: rgb(255, 255, 255);"">Ghost</span></a></span>."
300,Lowers opponent's {evasion;STAT;EVASION} when entering battle.,"Lowers opponent's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">evasion</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_evasion_up.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when entering battle."
301,Partially restores an ally's {HP;STAT;HP} when it enters a battle.,"Partially restores an ally's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when it enters a battle."
302,May cause {bad poisoning;STATUS;poison}.,"May cause <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>bad poisoning</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a>."
303,Boosts {Attack;STAT;ATTACK} / {Defense;STAT;DEFENSE} / {Special Defense;STAT;SPDEF} / {Speed;STAT;SPEED} depending on the form.,"Boosts <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> / <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_defense.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> / <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spdef.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> / <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> depending on the form."
304,Transforms into {Terastal Form;POKEMON;terapagos} in battle.,"Transforms into <a href=""/pokemon/terapagos"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Terapagos</span><img src=""https://cdn.pokedb.org/a1c7cc232274ff16db316f6855ed7999f3a8ec985a222df6046b5e2b5e6cbaeaw40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Terapagos"" style=""width: 20px; height: 20px""></a> in battle."
305,Moves are not very effective when {HP;STAT;HP} is full.,"Moves are not very effective when <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> is full."
306,Eliminates all effects of {weather;WEATHER;WEATHER} and terrain.,"Eliminates all effects of <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">weather</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/weather_weather.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> and terrain."
307,{Poisoned;STATUS;poison} Pokémon also become confused .,"<a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Poisoned</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a> Pokémon also become confused ."
10001,The Pokémon can climb to high places.,The Pokémon can climb to high places.
10002,Increases Range on water to include tiles adjacent to any water tiles within range.,Increases Range on water to include tiles adjacent to any water tiles within range.
10003,Increases Range on ice to include tiles adjacent to any ice tiles within range.,Increases Range on ice to include tiles adjacent to any ice tiles within range.
10004,The Pokémon can push an attacking opponent 1 additional tile away.,The Pokémon can push an attacking opponent 1 additional tile away.
10005,The Pokémon can evade moves from its allies.,The Pokémon can evade moves from its allies.
10006,The Pokémon can parry direct enemy attacks with claws or blades.,The Pokémon can parry direct enemy attacks with claws or blades.
10007,The Pokémon uses intuition to swiftly evade enemy moves.,The Pokémon uses intuition to swiftly evade enemy moves.
10008,The Pokémon can evade direct attacks and lower opponents' {Defense;STAT;DEFENSE} and {Speed;STAT;SPEED} by 1 stage (i.e. 0.66x if no prior modifiers).,"The Pokémon can evade direct attacks and lower opponents' <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_defense.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> and <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> by 1 stage (i.e. 0.66x if no prior modifiers)."
10009,"Contact with the Pokémon inflicts <span style=""font-size: 1.3rem"">⅛</span> of the attacker's maximum {HP;STAT;HP}. Activates repeatedly for multi-strike moves.","Contact with the Pokémon inflicts <span style=""font-size: 1.3rem"">⅛</span> of the attacker's maximum <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>. Activates repeatedly for multi-strike moves."
10010,Contact with the Pokémon may {freeze;STATUS;freeze} the attacker.,"Contact with the Pokémon may <a href=""/status_conditions/freeze"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>freeze</span><img src=""https://cdn.pokedb.org/7908bbfc3cf65d06b49cfa0780d094a19c0e13a869e394469dad11fd7c93ca70"" width=""20"" height=""20"" alt=""Status Condition Icon for Freeze"" style=""width: 20px; height: 20px""></a> the attacker."
10011,Contact with the Pokémon causes the attacker to {flinch;STATUS;flinch}.,"Contact with the Pokémon causes the attacker to <a href=""/status_conditions/"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>flinch</span><img src=""https://cdn.pokedb.org/0bf204778d94c12da1796a7b742f74dff77a5a7ad6d8a83ed6c19b1260d354fc"" width=""20"" height=""20"" alt=""Status Condition Icon for Flinch"" style=""width: 20px; height: 20px""></a>."
10012,Raises {Attack;STAT;ATTACK} and {Defense;STAT;DEFENSE} by 1 stage (i.e. 1.5x if no prior modifiers) when suffering from a {major statsus effect;STATUS;-}.,"Raises <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> and <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_defense.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> by 1 stage (i.e. 1.5x if no prior modifiers) when suffering from a <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>major statsus effect</span></a>."
10013,Restores {HP;STAT;HP} while sleeping.,"Restores <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> while sleeping."
10014,"The Pokémon falls asleep and recovers {HP;STAT;HP} when HP is at or below <span style=""font-size: 1.3rem"">⅓</span> of max {HP;STAT;HP}.","The Pokémon falls asleep and recovers <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when HP is at or below <span style=""font-size: 1.3rem"">⅓</span> of max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
10015,"Restores {HP;STAT;HP} and raises {Attack;STAT;ATTACK} by 1 stage (i.e. 1.5x if no prior modifiers) when HP is at or below <span style=""font-size: 1.3rem"">⅓</span> of max HP.","Restores <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> and raises <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> by 1 stage (i.e. 1.5x if no prior modifiers) when HP is at or below <span style=""font-size: 1.3rem"">⅓</span> of max HP."
10016,Restores {HP;STAT;HP} when the Pokémon is standing in magma.,"Restores <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when the Pokémon is standing in magma."
10017,Restores {HP;STAT;HP} when the Pokémon is standing in water.,"Restores <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when the Pokémon is standing in water."
10018,Restores {HP;STAT;HP} when the Pokémon is standing on grass.,"Restores <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when the Pokémon is standing on grass."
10019,"Restores <span style=""font-size: 1.3rem"">⅛</span> of maximum {HP;STAT;HP} when the Pokémon is standing on soil or sand.","Restores <span style=""font-size: 1.3rem"">⅛</span> of maximum <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when the Pokémon is standing on soil or sand."
10020,"Restores {HP;STAT;HP} when the Pokémon is standing in magma, soil, or sand.","Restores <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when the Pokémon is standing in magma, soil, or sand."
10021,Restores the {HP;STAT;HP} of adjacent allies.,"Restores the <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> of adjacent allies."
10022,"Restores <span style=""""font-size: 1.3rem"""">⅛</span> of maximum HP every turn.","Restores <span style="""">⅛</span> of maximum HP every turn."
10023,Restores {HP;STAT;HP} when waiting at the end of a turn.,"Restores <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> when waiting at the end of a turn."
10024,The Pokémon may heal an adjacent ally's status ailments.,The Pokémon may heal an adjacent ally's status ailments.
10025,"The Pokémon can deal damage to adjacent enemies, equal to <span style=""font-size: 1.3rem"">¹⁄₁₆</span> of the victim's maximum {HP;STAT;HP}.","The Pokémon can deal damage to adjacent enemies, equal to <span style=""font-size: 1.3rem"">¹⁄₁₆</span> of the victim's maximum <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
10026,"The Pokémon can absorb the {HP;STAT;HP} of adjacent enemies. Damage dealt is equal to <span style=""font-size: 1.3rem"">¹⁄₁₆</span> of the victim's maximum {HP;STAT;HP}, and HP restored is half of the damage dealt.","The Pokémon can absorb the <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> of adjacent enemies. Damage dealt is equal to <span style=""font-size: 1.3rem"">¹⁄₁₆</span> of the victim's maximum <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, and HP restored is half of the damage dealt."
10027,The Pokémon protects adjacent allies by taking enemy attacks for them. (Once per turn),The Pokémon protects adjacent allies by taking enemy attacks for them. (Once per turn)
